,Survived,Pclass,Sex,Parch,Ticket,Embarked,Age Category,Fare Category,Sibsp Category
48,1,1,female,0,11813,C,Adult,Low,Low
49,1,3,female,2,C.A. 37671,S,Adult,Low,Low
50,0,1,male,0,13695,S,Young Adult,Low,Low
51,0,2,male,0,SC/PARIS 2168,C,Young Adult,Low,Low
52,1,2,female,1,29105,S,Teenager,Low,Low
53,1,1,female,2,19950,S,Young Adult,Medium,Medium
55,0,3,male,1,382652,Q,child,Low,Medium
56,0,3,male,0,349230,S,Adult,Low,Low
57,0,3,male,0,348122,S,Young Adult,Low,Low
59,1,1,female,0,PC 17608,C,Adult,Medium,Low
60,0,3,male,0,349232,S,Teenager,Low,Low
61,0,2,male,0,237216,S,Adult,Low,Low
62,0,3,male,0,347090,S,Teenager,Low,Low
63,1,3,female,0,334914,Q,Young Adult,Low,Low
64,0,1,male,2,PC 17608,C,Teenager,Medium,Low
66,1,3,female,0,330963,Q,Teenager,Low,Low
67,0,1,male,0,113796,S,Adult,Low,Low
68,0,1,male,0,2543,C,Adult,Low,Low
69,1,1,female,4,19950,S,Adult,Medium,Low
70,1,3,female,0,382653,Q,Young Adult,Low,Low
71,0,3,male,0,349211,S,Young Adult,Low,Low
72,1,3,female,0,3101297,S,Young Adult,Low,Low
73,0,1,male,0,PC 17562,C,Young Adult,Low,Low
74,1,1,female,0,113503,C,Adult,Medium,Low
75,0,1,male,0,113503,C,Adult,Medium,Low
77,1,1,female,0,11770,S,Adult,Low,Low
78,0,2,male,0,248744,S,Young Adult,Low,Low
79,1,3,female,0,368702,Q,Young Adult,Low,Low
80,0,3,male,1,2678,C,child,Low,Low
81,0,1,male,0,PC 17483,S,Elderly,Medium,Low
82,0,1,male,0,19924,S,Adult,Low,Low
86,1,3,female,0,330844,Q,Young Adult,Low,Low
87,1,3,female,0,A/4 31416,S,Teenager,Low,Low
89,0,2,male,1,29103,S,Infant,Low,Low
90,1,3,female,0,347072,S,Young Adult,Low,Low
92,1,1,female,2,F.C. 12750,S,Young Adult,Low,Low
94,0,1,male,0,13905,C,Young Adult,Low,Low
95,0,3,male,0,350033,S,Young Adult,Low,Low
96,1,1,female,0,19877,S,Elderly,Low,Low
97,0,3,male,0,STON/O 2. 3101268,S,Young Adult,Low,Low
98,1,3,female,0,347471,S,Teenager,Low,Low
99,0,3,male,0,A./5. 3338,S,Adult,Low,Low
100,1,1,female,0,11778,C,Adult,Low,Low
101,0,2,male,0,228414,S,Young Adult,Low,Low
103,0,3,male,0,347070,S,Young Adult,Low,Low
104,1,3,female,1,2625,C,Teenager,Low,Low
105,0,3,male,0,C 4001,S,Young Adult,Low,Low
106,0,3,male,0,330920,Q,Young Adult,Low,Low
109,0,2,male,0,248734,S,Teenager,Low,Low
110,0,2,male,0,237734,C,Adult,Low,Low
112,1,1,female,0,PC 17531,C,Adult,Low,Low
113,1,3,female,0,329944,Q,Teenager,Low,Low
114,1,1,female,0,PC 17483,S,Elderly,Medium,Low
115,0,3,male,0,2680,C,Teenager,Low,Low
117,1,3,female,1,PP 9549,S,Infant,Low,Low
118,0,1,male,0,13050,C,Adult,Low,Low
119,1,2,female,0,SC/AH 29037,S,Young Adult,Low,Low
120,1,2,female,0,C.A. 33595,S,child,Low,Low
122,1,1,female,0,13236,C,Adult,Low,Low
123,0,3,male,0,392095,S,Young Adult,Low,Low
125,1,3,female,1,371362,S,Teenager,Low,Low
126,0,3,male,0,350045,S,Young Adult,Low,Low
128,0,2,male,0,211535,S,Adult,Low,Low
129,0,3,male,0,342441,S,Young Adult,Low,Low
130,0,3,male,0,STON/OQ. 369943,S,Adult,Low,Low
131,0,1,male,0,113780,C,Adult,Low,Low
134,0,3,male,0,349226,S,Adult,Low,Low
135,0,3,male,0,350409,S,Young Adult,Low,Low
136,0,3,male,0,2656,C,Young Adult,Low,Low
137,0,2,male,0,248659,S,Young Adult,Low,Low
138,1,3,female,0,SOTON/OQ 392083,S,Young Adult,Low,Low
139,0,3,male,6,CA 2144,S,Adult,Low,Low
140,1,3,female,2,CA 2144,S,child,Low,High
141,1,1,female,0,113781,S,Adult,Low,Low
142,0,1,male,3,PC 17608,C,Elderly,Medium,Low
143,0,2,male,0,244358,S,Young Adult,Low,Low
144,0,1,male,0,17475,S,Adult,Low,Low
145,0,3,male,0,345763,S,Adult,Low,Medium
147,0,3,male,0,SC/A4 23568,S,Young Adult,Low,Low
149,0,2,male,1,250651,S,Young Adult,Low,Low
150,1,1,female,1,11767,C,Young Adult,Low,Low
153,1,3,female,2,350405,S,Adult,Low,Low
154,0,3,male,2,347077,S,Teenager,Low,Medium
155,0,3,male,0,S.O./P.P. 752,S,Young Adult,Low,Low
156,1,1,female,0,PC 17483,S,Young Adult,Medium,Low
157,1,3,female,0,347469,S,Young Adult,Low,Low
158,0,1,male,0,110489,S,Adult,Low,Low
159,1,3,female,2,SOTON/O.Q. 3101315,S,Young Adult,Low,Low
161,0,3,male,1,2650,C,child,Low,Low
162,1,2,female,0,220844,S,Young Adult,Low,Low
164,0,2,male,0,237393,S,Adult,Low,Low
165,1,3,female,1,315153,S,Young Adult,Low,Low
166,0,1,male,0,PC 17591,C,Adult,Low,Low
167,0,3,male,2,W./C. 6608,S,Teenager,Low,Low
169,1,3,female,0,7548,S,Young Adult,Low,Low
171,0,3,male,0,2670,C,Young Adult,Low,Low
172,0,3,male,0,347072,S,Young Adult,Low,Low
174,0,3,male,5,347077,S,Adult,Low,Low
175,1,2,female,2,29750,S,Teenager,Low,Low
176,1,2,female,0,C.A. 33112,S,Teenager,Low,Low
177,0,1,male,0,11778,C,Adult,Low,Low
178,1,2,female,3,230136,S,Adult,Low,Low
179,1,1,female,2,PC 17756,C,Elderly,Low,Low
180,0,2,male,0,233478,S,Young Adult,Low,Low
181,0,1,male,1,PC 17756,C,Adult,Low,Low
182,1,1,female,0,113773,S,Teenager,Low,Low
184,1,1,female,1,PC 17558,C,Young Adult,Medium,Low
185,0,2,male,0,239059,S,Adult,Low,Low
186,1,2,female,1,S.O./P.P. 2,S,Young Adult,Low,Low
187,0,3,male,0,A/4 48873,S,Teenager,Low,Low
189,0,2,male,0,28221,S,Adult,Low,Low
190,0,2,male,0,226875,S,Adult,Low,Low
192,0,3,male,1,A/5. 851,S,child,Low,Low
193,0,2,male,0,235509,Q,Elderly,Low,Low
194,0,2,male,2,28220,S,child,Low,Low
195,0,3,male,0,347465,S,Adult,Low,Low
196,0,1,male,2,16966,C,child,Low,Low
197,1,3,female,0,347066,S,Teenager,Low,Low
198,0,2,male,0,C.A. 31030,S,Young Adult,Low,Low
201,0,3,male,2,347080,S,Infant,Low,Low
202,0,1,male,0,PC 17757,C,Adult,Medium,Low
203,1,2,female,1,26360,S,child,Low,Low
204,0,2,male,0,C.A. 34050,S,Young Adult,Low,Low
206,1,3,female,0,9232,Q,Adult,Low,Low
207,0,2,male,0,28034,S,Young Adult,Low,Low
208,1,1,female,0,PC 17613,C,Adult,Low,Low
209,0,3,male,0,349250,S,Young Adult,Low,Low
210,0,3,male,0,C 4001,S,Adult,Low,Low
212,0,2,male,0,S.O.C. 14879,S,Teenager,Low,Low
213,1,2,female,0,24065,S,Adult,Low,Low
214,1,3,female,2,347091,S,Adult,Low,Medium
215,0,1,male,0,113038,S,Adult,Low,Low
217,0,1,male,1,36928,S,Adult,Low,Low
218,1,1,female,1,113503,C,Adult,Medium,Low
220,1,2,female,0,SC/PARIS 2148,C,Young Adult,Low,Low
221,0,3,male,0,342684,S,Young Adult,Low,Low
222,1,2,female,0,W./C. 14266,S,Young Adult,Low,Low
223,0,3,male,0,350053,S,Young Adult,Low,Low
224,1,1,female,0,PC 17606,C,Adult,Low,Low
226,0,3,male,0,350054,S,Young Adult,Low,Low
228,0,3,male,0,C.A. 6212,S,Adult,Low,Low
229,0,2,male,0,242963,S,Adult,Low,Low
230,0,2,male,0,220845,S,Teenager,Low,Low
231,1,1,female,0,113795,S,Young Adult,Low,Low
232,0,3,male,0,3101266,S,Young Adult,Low,Low
234,0,1,male,0,PC 17599,C,Adult,Low,Low
235,0,3,male,0,350416,S,Teenager,Low,Low
236,0,1,male,0,110813,C,Elderly,Low,Low
237,0,3,male,0,2679,C,Teenager,Low,Low
238,1,2,female,1,250650,S,Teenager,Low,Low
239,1,1,female,0,PC 17761,C,Adult,Low,Low
240,1,1,female,0,112377,C,Adult,Low,Low
241,1,2,female,2,237789,S,Adult,Low,Low
242,0,1,male,1,16966,C,Adult,Low,Low
245,0,1,male,0,17464,S,Adult,Low,Low
246,1,2,female,0,F.C.C. 13534,S,Young Adult,Low,Low
247,0,2,male,1,28220,S,Adult,Low,Low
248,1,2,female,0,26707,S,Young Adult,Low,Low
250,1,2,female,2,C.A. 34651,S,Infant,Low,Low
251,0,3,male,0,SOTON/O2 3101284,S,Teenager,Low,Low
252,0,1,male,0,13508,C,Young Adult,Low,Low
253,0,3,male,0,7266,S,Young Adult,Low,Low
254,0,3,male,0,345775,S,Adult,Low,Low
257,0,3,male,0,363611,S,Young Adult,Low,Low
258,1,2,female,0,28404,S,Teenager,Low,Low
259,0,3,male,0,345501,S,Young Adult,Low,Low
260,0,3,male,0,345572,S,Adult,Low,Low
261,0,3,male,0,350410,S,Young Adult,Low,Low
262,1,2,female,2,29103,S,Young Adult,Low,Low
263,1,3,female,1,350405,S,Infant,Low,Low
264,0,2,male,0,C.A. 34644,C,Young Adult,Low,Low
269,0,3,male,0,315095,S,Teenager,Low,Low
270,0,1,male,0,13050,C,Adult,Low,Low
272,1,1,female,0,13508,C,Young Adult,Low,Low
275,1,2,female,0,236853,S,Teenager,Low,Low
276,0,2,male,0,SC 14888,S,Young Adult,Low,Low
277,0,2,male,0,2926,S,Adult,Low,Low
278,0,2,male,0,CA 31352,S,Young Adult,Low,Low
279,0,2,male,0,W./C. 14260,S,Young Adult,Low,Low
280,1,3,female,0,315085,S,Young Adult,Low,Low
281,0,3,male,1,SOTON/O.Q. 3101315,S,Infant,Low,Low
283,1,3,female,1,2650,C,child,Low,Low
284,1,3,female,1,370129,S,Infant,Low,Low
285,0,3,male,0,A/5 21175,S,Adult,Low,Low
287,0,1,male,0,21228,S,Young Adult,Low,Low
291,1,3,female,0,382650,Q,Young Adult,Low,Low
293,0,1,male,1,33638,S,Adult,Low,Low
294,0,3,male,0,345771,S,Adult,Low,Low
295,0,3,male,0,349202,S,Young Adult,Low,Low
296,1,2,female,2,SC/Paris 2123,C,Infant,Low,Low
298,0,1,male,0,113801,S,Young Adult,Low,Low
299,0,3,male,0,347467,S,Young Adult,Low,Low
300,0,3,male,0,347079,S,Adult,Low,Low
302,0,2,male,1,S.O./P.P. 2,S,Adult,Low,Low
303,0,3,male,0,315092,S,Young Adult,Low,Low
305,1,1,female,1,112901,S,Elderly,Low,Low
306,0,1,male,2,113781,S,Young Adult,Low,Low
307,0,3,male,1,392091,S,Infant,Low,Low
308,0,1,male,1,12749,S,Adult,Low,Low
309,1,3,female,0,350026,S,Adult,Low,Low
310,0,3,male,0,315091,S,Teenager,Low,Low
311,0,3,male,0,2658,C,Young Adult,Low,Low
313,1,3,female,0,368364,Q,Adult,Low,Low
314,1,1,female,0,PC 17760,C,Adult,Low,Low
315,1,3,female,0,AQ/3. 30631,Q,Teenager,Low,Low
316,0,1,male,0,PC 17569,C,Adult,Low,Low
317,0,2,male,0,28004,S,Teenager,Low,Low
318,0,3,male,0,350408,S,Young Adult,Low,Low
319,0,2,male,0,C.A. 31029,S,Young Adult,Low,Low
320,0,3,male,0,347075,S,Young Adult,Low,Low
321,0,3,male,0,2654,C,Young Adult,Low,Low
322,0,2,male,0,244368,S,Young Adult,Low,Low
323,0,1,male,0,113790,S,Adult,Low,Low
324,1,1,female,0,24160,S,Adult,Medium,Low
325,0,3,male,0,SOTON/O.Q. 3101309,S,Young Adult,Low,Low
326,1,2,female,1,230136,S,child,Low,Low
327,0,1,male,0,PC 17585,C,Adult,Low,Low
328,0,2,male,0,2003,S,Young Adult,Low,Low
329,0,2,male,0,236854,S,Young Adult,Low,Low
330,1,2,female,2,C.A. 33112,S,Adult,Low,Low
331,0,1,male,0,PC 17580,C,Adult,Low,Low
333,1,3,female,1,2653,C,Teenager,Low,Low
334,0,3,male,0,349229,S,Young Adult,Low,Low
335,0,1,male,0,110469,S,Young Adult,Low,Low
336,0,2,male,0,244360,S,Adult,Low,Low
337,0,3,male,2,2675,C,Adult,Low,Low
338,0,2,male,0,C.A. 31029,S,Young Adult,Low,Low
340,0,2,male,0,C.A. 15185,S,Teenager,Low,Low
341,0,3,male,0,350403,S,Adult,Low,Low
343,1,1,female,1,PC 17755,C,Adult,High,Low
345,1,3,female,0,348125,S,Teenager,Low,Low
346,0,2,male,0,237670,S,Young Adult,Low,Low
347,1,3,female,0,2688,C,Adult,Low,Low
348,0,2,male,0,248726,S,Young Adult,Low,Low
349,1,2,female,0,F.C.C. 13528,S,Adult,Low,Low
350,1,1,female,1,PC 17759,C,Adult,Low,Low
351,0,2,male,0,F.C.C. 13540,S,Young Adult,Low,Low
352,0,2,male,0,S.O.C. 14879,S,Teenager,Low,Low
353,0,2,male,2,220845,S,Adult,Low,Low
354,1,3,female,2,C.A. 2315,S,Infant,Low,Low
355,0,1,male,0,113044,S,Adult,Low,Low
356,1,1,female,0,11769,S,Adult,Low,Low
359,1,3,female,0,349910,S,Young Adult,Low,Low
360,0,3,male,2,CA. 2343,S,Teenager,Low,High
361,1,2,female,1,S.C./PARIS 2079,C,Young Adult,Low,Low
362,1,2,female,0,CA 31352,S,Adult,Low,Low
363,0,3,male,0,315083,S,Young Adult,Low,Low
364,1,1,female,0,11765,C,Young Adult,Low,Low
367,1,3,female,0,3101295,S,Young Adult,Low,Low
368,1,1,female,1,112378,C,Adult,Low,Low
369,0,2,male,0,SC/PARIS 2147,C,Young Adult,Low,Low
370,0,2,male,0,28133,S,Young Adult,Low,Low
371,1,1,female,0,16966,C,Adult,Low,Low
372,0,1,male,0,112058,S,Adult,,Low
373,0,2,male,0,248746,S,Adult,Low,Low
374,1,1,female,1,33638,S,Adult,Low,Low
375,1,1,female,0,PC 17608,C,Adult,Medium,Low
376,1,3,female,0,315152,S,Young Adult,Low,Low
377,0,2,male,0,29107,S,Young Adult,Low,Low
378,0,1,male,0,680,S,Adult,Low,Low
379,0,3,male,2,347077,S,Infant,Low,Medium
381,0,3,male,0,330910,Q,Young Adult,Low,Low
383,1,3,female,0,376566,S,Teenager,Low,Low
385,1,2,female,2,220845,S,Young Adult,Low,Low
386,0,3,male,0,349911,S,Young Adult,Low,Low
387,0,2,male,0,244346,S,Adult,Low,Low
388,0,3,male,0,364858,Q,Young Adult,Low,Low
389,0,3,male,1,349909,S,child,Low,Medium
390,0,1,male,0,12749,S,Young Adult,Low,Low
391,1,1,female,1,PC 17592,S,Adult,Low,Low
392,0,3,male,2,C.A. 2673,S,Teenager,Low,Low
393,0,2,male,0,C.A. 30769,S,Adult,Low,Low
394,0,3,male,1,315153,S,Young Adult,Low,Medium
395,1,1,female,0,13695,S,Teenager,Low,Low
396,0,3,male,0,371109,Q,Young Adult,Low,Low
397,1,1,female,1,13567,C,Adult,Low,Low
398,0,3,male,0,347065,S,Young Adult,Low,Low
399,0,3,male,0,21332,Q,Adult,Low,Low
400,1,1,female,0,36928,S,Young Adult,Low,Low
401,0,2,male,0,28664,S,Adult,Low,Low
402,1,1,female,1,112378,C,Young Adult,Low,Low
403,0,1,male,0,113059,S,Teenager,Low,Low
404,0,1,male,0,17765,C,Adult,Low,Low
405,0,2,male,0,SC/PARIS 2166,C,Teenager,Low,Low
406,0,2,male,0,28666,S,Young Adult,Low,Low
407,0,1,male,1,113503,C,Adult,Medium,Low
409,1,3,female,1,SOTON/O.Q. 3101315,S,Infant,Low,Low
411,1,1,female,0,19928,Q,Adult,Low,Low
412,1,3,female,0,347086,S,Young Adult,Low,Low
414,1,1,female,0,PC 17758,C,Adult,Low,Low
415,0,3,male,0,SOTON/O.Q. 3101262,S,Adult,Low,Low
